GENE,COMMON,gal1RGexp,gal4RGexp,gal80Rexp,gal1RGsig,gal4RGsig,gal80Rsig
YLR267W,BOP2,0.199,0.403,0.64,4.54E-04,2.43E-05,1.19E-05
YHR054C,YHR054C,-0.071,0.055,-0.015,9.88E-02,1.89E-01,8.47E-01
YGR075C,PRP38,-0.075,-0.227,0.081,1.84E-01,9.43E-03,6.20E-01
YGR148C,RPL24B,-0.202,-0.423,-0.126,9.95E-05,1.34E-06,3.88E-02
YOR205C,YOR205C,0.069,0.03,0.389,2.16E-01,7.81E-01,2.63E-02
YAL017W,YAL017W,-0.122,-0.019,-0.251,2.55E-03,7.02E-01,2.65E-04
YIL001W,YIL001W,-0.044,-0.096,-0.032,3.28E-01,1.66E-01,7.72E-01
YMR174C,PAI3,-0.07,-0.088,-0.19,6.67E-02,1.26E-01,3.17E-03
YLR195C,NMT1,-0.003,-0.316,-0.012,9.42E-01,5.12E-05,9.13E-01
YGL043W,DST1,0.156,-0.466,0.568,4.35E-03,2.94E-05,1.08E-04
YGL116W,CDC20,0.006,-0.066,0.294,9.20E-01,5.35E-01,3.90E-02
YOL100W,PKH2,-0.119,-0.049,0.16,6.35E-01,8.29E-01,4.71E-01
YLR287C-A,RPS30A,-0.289,-0.288,-0.095,6.12E-06,3.14E-05,9.16E-02
YDL179W,PCL9,0.189,0.012,-0.028,6.98E-04,8.34E-01,7.76E-01
YIR033W,MGA2,0.079,-0.142,0.051,1.27E-01,8.03E-03,5.17E-01
YAL018C,YAL018C,-0.227,0,0,5.64E-01,4.65E-01,7.48E-01
YIL002C,INP51,-0.013,-0.194,-0.021,7.93E-01,3.13E-03,8.41E-01
YHR127W,HSN1,0.159,-0.413,0.532,8.85E-03,3.96E-03,2.18E-03
YKL184W,SPE1,-0.03,-0.071,-0.055,5.03E-01,1.66E-01,5.00E-01
YHL023C,YHL023C,0.127,-0.183,0.132,1.31E-02,3.08E-02,2.09E-01
YPR111W,DBF20,0.148,0.137,0.077,7.18E-03,4.64E-02,5.46E-01
YDR494W,YDR494W,0.193,0.01,0.199,5.38E-05,8.47E-01,1.10E-02
YGL044C,RNA15,0.162,-0.211,0.281,1.36E-03,4.09E-03,5.74E-03
YOR132W,VPS17,0.079,0.085,0.15,5.93E-02,8.10E-02,5.66E-02
YFL065C,YFL065C,0.003,-0.061,-0.118,9.59E-01,3.53E-01,3.32E-01
YOL101C,YOL101C,-0.081,-0.111,-0.032,3.59E-02,2.05E-02,6.02E-01
YBR029C,CDS1,-0.032,-0.028,-0.007,5.48E-01,6.30E-01,9.46E-01
YNL122C,YNL122C,-0.074,0.026,-0.045,1.30E-01,6.24E-01,6.88E-01
YIR034C,LYS1,-0.085,-0.272,0.278,3.83E-02,1.81E-04,2.17E-03
YLR268W,SEC22,-0.123,-0.009,-0.541,7.23E-03,9.04E-01,6.23E-05
YHR055C,CUP1B,-0.867,-0.416,0.802,2.88E-06,2.68E-02,1.97E-12
YPR112C,YPR112C,0.227,0.286,0.547,2.48E-03,3.23E-04,9.10E-04
YGR076C,MRPL25,0.145,0,0.046,6.24E-03,1.00E+00,7.02E-01
