GENE,COMMON,gal1RGexp,gal4RGexp,gal80Rexp,gal1RGsig,gal4RGsig,gal80Rsig
YMR261C,TPS3,-0.236,0.128,-0.488,2.34E-04,8.47E-02,1.09E-03
YDR298C,ATP5,-0.018,0.182,-0.352,5.94E-01,2.67E-04,5.16E-09
YLR282C,YLR282C,0.167,-0.076,0.185,6.70E-01,3.56E-01,1.21E-01
YGL130W,CEG1,0.164,-0.11,0.445,5.52E-04,5.61E-02,6.63E-04
YLR355C,ILV5,-0.068,-0.41,0.166,7.40E-02,1.35E-06,1.61E-02
YLR428C,YLR428C,0,0,0,8.93E-01,1.00E+00,1.00E+00
YDL193W,YDL193W,-0.056,-0.001,0.053,1.68E-01,9.79E-01,5.23E-01
YAL032C,PRP45,-0.139,-0.033,0.255,1.10E-01,6.12E-01,2.49E-02
YHR214W,YHR214W,-0.029,0.116,-0.002,5.28E-01,1.77E-02,9.71E-01
YGR162W,TIF4631,0.114,-0.677,0.364,1.78E-02,8.25E-07,3.70E-04
YDR001C,NTH1,-0.25,-0.11,-0.001,1.34E-06,8.10E-02,9.79E-01
YML019W,OST6,-0.171,0.004,-0.384,4.44E-04,9.35E-01,7.58E-06
YGL131C,YGL131C,0.229,0.178,0.281,2.22E-03,4.95E-01,6.86E-02
YCR022C,YCR022C,-0.207,-0.236,0,1.10E-01,1.78E-01,8.66E-01
YGL204C,YGL204C,-0.228,-0.107,0.069,2.61E-04,2.53E-01,6.86E-01
YBR043C,YBR043C,0.454,0.023,0,5.37E-08,9.42E-01,1.00E+00
YBR116C,YBR116C,-0.299,0.7,0.17,6.84E-04,1.97E-09,1.35E-01
YJR100C,YJR100C,-0.005,0.07,-0.173,9.01E-01,1.76E-01,6.76E-02
YOR009W,YOR009W,-0.181,0.159,-0.358,5.21E-05,1.90E-03,1.12E-06
YBL011W,SCT1,0.039,-0.051,-0.033,3.05E-01,3.00E-01,6.99E-01
YGR236C,YGR236C,-0.064,0.847,0.632,5.24E-01,3.37E-07,3.15E-05
YBL012C,YBL012C,-0.054,-0.179,-0.268,3.63E-01,8.32E-02,2.00E-01
YAR064W,YAR064W,-0.291,-0.183,0.1,7.17E-03,3.03E-01,7.37E-01
YDL194W,SNF3,0.139,0.333,0.449,1.80E-02,3.40E-02,1.13E-02
YHR142W,CHS7,-0.245,-0.062,-0.188,4.46E-06,2.80E-01,3.08E-02
YHR215W,PHO12,-0.371,-0.012,-0.434,2.48E-03,8.08E-01,5.71E-07
YGR090W,YGR090W,-0.269,-0.503,0.046,2.39E-06,1.29E-03,6.76E-01
YGR163W,GTR2,0.093,-0.072,0.142,2.78E-02,2.76E-01,2.05E-01
YOR220W,YOR220W,-0.183,0.113,0.056,1.09E-04,2.55E-02,3.54E-01
YCR023C,YCR023C,-0.016,0.263,-0.343,7.13E-01,7.97E-06,2.40E-03
YBR044C,TCM62,-0.03,-0.05,0.117,5.81E-01,4.58E-01,3.46E-01
YBR117C,TKL2,0,0,0,8.23E-01,8.57E-01,1.00E+00
YMR262W,YMR262W,-0.171,0.171,-0.215,3.18E-04,2.16E-03,3.58E-02
YDR299W,BFR2,0.518,-0.287,0.883,1.61E-07,2.00E-01,1.02E-04
YLR283W,YLR283W,-0.05,-0.045,0.035,3.80E-01,6.20E-01,7.92E-01
YLR356W,YLR356W,-0.204,0.206,-0.072,1.94E-03,7.10E-03,5.21E-01
YLR429W,CRN1,-0.087,-0.207,-0.011,1.95E-02,3.26E-04,8.52E-01
YPR200C,ARR2,-0.265,-0.124,0,4.47E-02,6.03E-01,1.00E+00
YGR237C,YGR237C,-0.088,-0.111,0,6.03E-01,5.88E-01,1.00E+00
YOR221C,MCT1,-0.144,-0.005,-0.183,5.65E-04,9.23E-01,6.71E-03
YAL033W,POP5,-0.194,-0.17,0.136,1.06E-03,1.92E-02,2.75E-01
YMR190C,SGS1,0.581,0.206,0,4.91E-02,5.30E-01,3.41E-01
YLR284C,ECI1,0.195,-0.148,0.716,5.23E-03,2.15E-01,3.92E-04
YDR002W,YRB1,-0.027,-0.302,0.017,5.32E-01,4.56E-05,7.97E-01
YGL132W,YGL132W,-0.122,-0.252,-0.199,2.23E-01,3.79E-02,4.28E-01
YGL205W,POX1,1.456,0.667,1.112,4.65E-12,1.23E-04,2.61E-07
YNL210W,MER1,-0.228,-0.327,0.349,8.13E-02,2.92E-01,1.09E-01
YJR101W,YJR101W,-0.039,-0.025,0.093,4.02E-01,6.56E-01,4.48E-01
YDL195W,SEC31,0.407,0.408,0,2.49E-01,1.26E-01,7.93E-01
YAL034C,YAL034C,-0.278,0.497,-0.069,3.52E-04,2.18E-05,2.92E-01
YHR070W,YHR070W,0.058,-0.356,0.365,1.75E-01,1.14E-04,1.89E-03
YHR143W,YHR143W,-0.123,-0.034,-0.394,3.28E-03,4.69E-01,2.94E-06
YGR091W,PRP31,0.115,-0.215,0.239,5.25E-02,4.30E-02,1.02E-01
YHR216W,YHR216W,-0.157,-0.212,-0.246,2.87E-04,7.83E-03,7.93E-04
YGR164W,YGR164W,-0.473,-0.527,-0.175,1.48E-04,6.89E-02,4.68E-01
YCR024C,YCR024C,-0.05,0,0.029,3.79E-01,1.00E+00,8.21E-01
YBR045C,GIP1,0.786,1.022,0.94,5.59E-06,1.29E-05,1.64E-02
YMR263W,YMR263W,0.229,-0.529,0.421,1.76E-04,6.27E-05,6.28E-02
YNL211C,YNL211C,-0.233,-0.364,0.064,1.01E-01,1.11E-01,8.07E-01
YJR102C,YJR102C,-0.003,0.039,-0.002,9.59E-01,5.68E-01,1.00E+00
YLR357W,RSC2,-0.076,-0.262,0.094,4.55E-02,9.69E-05,2.11E-01
YHR144C,DCD1,-0.121,-0.67,-0.358,5.14E-02,1.36E-04,3.20E-01
YGR238C,KEL2,0,0,0,1.00E+00,9.46E-01,1.00E+00
YBL013W,YBL013W,0.076,0.049,-0.261,6.02E-01,7.56E-01,2.74E-01
YGL060W,YGL060W,-0.01,-0.216,0.247,8.75E-01,4.17E-02,1.03E-01
YDR003W,YDR003W,-0.099,0.201,-0.003,1.95E-02,1.60E-03,9.71E-01
YGL133W,YGL133W,0.158,-0.212,-0.021,5.80E-03,1.04E-01,8.95E-01
YLR358C,YLR358C,0.249,-0.331,0.668,2.65E-03,6.53E-02,2.48E-02
YBR118W,TEF2,-0.074,-0.063,0.044,5.31E-02,1.55E-01,5.46E-01
YBL014C,RRN6,0.011,-0.412,0.194,8.67E-01,9.31E-04,2.17E-01
YDL196W,YDL196W,0.27,-0.163,0.214,3.41E-01,7.13E-01,3.39E-01
YHR071W,PCL5,-0.614,-0.67,-0.499,5.01E-11,4.28E-06,6.81E-08
YHL040C,ARN1,0.254,0.045,0.336,3.79E-05,5.26E-01,2.14E-02
YGR092W,DBF2,-0.066,-0.041,0.221,1.66E-01,6.03E-01,1.22E-01
YPR201W,ARR3,0.063,0.793,0.058,8.07E-01,6.01E-03,7.56E-01
YGR165W,YGR165W,-0.013,0.008,-0.068,7.51E-01,8.75E-01,4.73E-01
YGL061C,DUO1,0.022,-0.599,0.108,8.74E-01,5.33E-03,7.77E-01
YOR222W,YOR222W,-0.092,-0.223,-0.163,1.70E-02,7.10E-04,1.41E-02
YCR025C,YCR025C,-0.231,-0.473,-0.125,4.72E-02,1.61E-01,3.32E-01
YBR046C,ZTA1,0.45,0.148,0.303,6.57E-09,2.09E-02,2.14E-03
YMR191W,YMR191W,0.326,0.408,0.481,6.56E-06,4.20E-08,6.28E-06
YMR264W,CUE1,0,0,0,1.00E+00,1.00E+00,1.00E+00
YJR030C,YJR030C,-0.013,-0.016,-0.301,7.72E-01,7.89E-01,9.14E-03
YDL197C,ASF2,0.14,0.194,-0.004,3.49E-03,3.48E-03,9.71E-01
YLR285W,YLR285W,0.371,0.072,0.149,2.43E-03,7.46E-01,4.80E-01
YHR145C,YHR145C,-0.258,0.067,-0.331,4.22E-07,1.86E-01,5.42E-07
YGR239C,PEX21,0.13,-0.075,0.159,3.80E-02,2.65E-01,2.13E-01
YAL035W,YAL035W,0.124,-0.315,0.357,5.29E-03,1.31E-04,1.02E-04
YMR265C,YMR265C,-0.131,-0.161,0,4.05E-01,1.77E-01,1.00E+00
YDR004W,RAD57,0.052,-0.032,-0.042,2.89E-01,6.78E-01,7.32E-01
YLR286C,CTS1,-0.012,0.36,-0.401,7.37E-01,1.64E-07,2.43E-10
YGL134W,PCL10,0.138,-0.548,0.839,2.06E-03,3.70E-07,3.76E-07
YGL207W,SPT16,0.059,0.02,0.151,2.16E-01,6.15E-01,8.12E-02
YNL212W,YNL212W,0.196,0.214,-0.461,1.44E-04,2.30E-03,2.26E-04
YBR119W,MUD1,-0.034,0.003,0.017,5.14E-01,9.64E-01,8.84E-01
YJR103W,URA8,-0.103,0.09,-0.148,9.29E-03,6.10E-02,1.27E-02
YAL036C,YAL036C,0.047,-0.361,0.251,5.20E-01,1.92E-04,1.08E-02
YHR072W,ERG7,-0.008,-0.082,-0.082,8.41E-01,1.33E-01,3.20E-01
YIL020C,HIS6,-0.618,-0.529,-0.501,7.15E-04,3.03E-04,1.50E-02
YHR218W,YHR218W,0.046,-0.133,-0.149,2.69E-01,2.67E-02,9.45E-02
YGR093W,YGR093W,0.044,-0.348,0.398,3.52E-01,2.86E-04,1.39E-02
YPR202W,YPR202W,-0.043,-0.063,-0.265,2.98E-01,2.09E-01,1.70E-03
YGR166W,KRE11,-0.151,-0.147,0.101,3.55E-03,7.92E-02,4.39E-01
YOR150W,MRPL23,-0.053,0.011,-0.053,1.89E-01,8.10E-01,5.03E-01
YDR005C,MAF1,-0.12,-0.105,-0.144,2.71E-03,2.08E-01,3.44E-02
YOR223W,YOR223W,0.03,0.127,0.104,4.38E-01,8.85E-03,2.79E-01
YCR026C,YCR026C,0.213,0,0,6.42E-01,3.60E-01,3.79E-01
YKR010C,TOF2,0.216,-0.275,0.175,1.35E-04,1.40E-03,1.43E-01
YMR192W,YMR192W,-0.094,-0.406,0.359,7.20E-02,2.11E-03,3.03E-03
YNL140C,YNL140C,-0.056,-0.243,0.117,3.22E-01,7.04E-03,3.98E-01
YJR031C,GEA1,0.1,-0.156,0.124,3.32E-01,4.29E-01,7.56E-01
YNL213C,YNL213C,0.081,-0.327,0.426,2.13E-01,2.95E-03,7.97E-03
YJR104C,SOD1,-0.205,0.263,-0.134,1.09E-05,1.76E-05,2.84E-02
YDL198C,YHM1,-0.261,-0.153,-0.493,2.36E-06,4.63E-02,3.07E-10
YLR359W,ADE13,-0.746,-0.472,0.288,5.94E-11,3.51E-06,6.70E-05
YPR130C,YPR130C,0.08,-0.179,0.225,1.23E-01,6.14E-02,8.37E-02
YBL015W,ACH1,0.176,0.389,-0.428,2.87E-03,1.68E-07,1.37E-08
YOR151C,RPB2,0.07,-0.142,-0.138,8.27E-02,1.94E-02,1.23E-01
YOR224C,RPB8,-0.134,-0.304,0.112,9.57E-03,3.52E-05,1.17E-01
YHL041W,YHL041W,-0.119,-0.192,0,2.62E-01,5.68E-01,1.00E+00
YGL062W,PYC1,0.625,0.354,-0.114,4.06E-08,3.30E-05,3.21E-01
YLR287C,YLR287C,0.214,-0.778,0.503,2.28E-04,2.22E-06,4.42E-02
YGL135W,RPL1B,-0.432,-0.225,-0.255,5.44E-08,1.37E-04,3.43E-06
YGL208W,SIP2,0.354,0.406,0.139,1.80E-06,1.11E-06,9.75E-02
YBR047W,YBR047W,0.265,-0.137,0.712,2.87E-01,2.17E-01,1.96E-04
YAR068W,YAR068W,0.122,0.137,-0.007,2.55E-02,8.60E-03,9.23E-01
YHR073W,YHR073W,0.042,-0.07,0.211,3.17E-01,1.39E-01,1.02E-02
YHR146W,YHR146W,0.173,-0.172,0.466,4.10E-04,1.20E-02,2.16E-07
YHR219W,YHR219W,-0.062,-0.052,-0.23,1.13E-01,2.71E-01,3.19E-04
YGR094W,VAS1,-0.158,-0.239,-0.308,1.64E-04,2.12E-04,4.86E-06
YPR203W,YPR203W,-0.004,-0.09,-0.323,9.18E-01,1.45E-01,4.20E-03
YGR167W,CLC1,0.015,-0.085,0.07,6.73E-01,1.14E-01,3.17E-01
YDR006C,SOK1,0.244,0.177,0.386,2.23E-04,1.86E-01,1.62E-02
YGL136C,YGL136C,-0.066,0.1,-0.082,1.36E-01,5.89E-02,3.88E-01
YCR027C,RSG1,-0.06,-0.289,0.128,1.27E-01,3.00E-04,2.85E-01
YOL120C,RPL18A,-0.409,-0.225,-0.62,1.72E-07,3.02E-04,3.90E-09
YKR011C,YKR011C,0.034,-0.091,0.207,5.15E-01,2.69E-01,3.17E-02
YMR193W,MRPL24,-0.308,-0.357,-0.22,2.20E-06,2.38E-06,5.27E-05
YMR266W,YMR266W,-0.275,0.171,-0.747,1.51E-06,1.06E-03,2.85E-14
YDL199C,YDL199C,0.194,0.62,-0.111,1.53E-03,6.94E-07,3.33E-01
YHR147C,MRPL6,-0.042,0.159,-0.129,2.92E-01,1.42E-03,1.75E-01
YPR131C,YPR131C,-0.096,-0.147,0.297,5.01E-02,4.79E-02,1.31E-02
YGR095C,RRP46,-0.021,-0.511,0.345,6.15E-01,3.38E-06,1.04E-02
YGR168C,YGR168C,-0.065,-0.062,0.261,2.56E-01,4.23E-01,4.78E-02
YOR152C,YOR152C,0.072,0.449,-0.093,2.37E-01,7.99E-08,3.85E-01
YBL016W,FUS3,-0.178,-0.226,-0.006,1.43E-04,5.75E-04,9.38E-01
YAL037W,YAL037W,-0.086,-0.445,0.127,3.59E-01,2.24E-03,7.76E-01
YIL021W,RPB3,0.18,-0.287,0.259,1.46E-04,6.81E-04,2.49E-02
YHL042W,YHL042W,-0.137,-0.047,0.252,8.97E-02,7.87E-01,2.49E-01
YLR288C,MEC3,0.015,-0.208,-0.125,8.16E-01,1.64E-01,4.31E-01
YGL063W,PUS2,0.123,0.083,-0.442,1.26E-01,4.01E-01,6.07E-03
YGL209W,MIG2,-0.09,0.24,-0.042,1.28E-01,1.93E-04,6.96E-01
YBR048W,RPS11B,-0.407,-0.372,-0.123,8.55E-07,2.90E-06,4.25E-02
YNL141W,AAH1,-0.263,-0.13,0.124,9.40E-03,2.84E-01,3.75E-01
YNL214W,PEX17,0.122,0.041,0.199,1.66E-01,6.43E-01,1.19E-01
YJR032W,CPR7,0.04,-0.588,0.502,4.44E-01,1.15E-03,5.68E-03
YJR105W,YJR105W,-0.279,-0.24,-0.075,2.84E-07,1.05E-04,2.95E-01
YBL017C,PEP1,-0.134,0.047,0.502,1.41E-01,8.84E-01,6.47E-02
YHR074W,YHR074W,-0.042,0.134,-0.003,3.96E-01,3.21E-02,9.79E-01
YPR204W,YPR204W,0.02,-0.06,-0.04,5.95E-01,3.38E-01,4.72E-01
YGL064C,YGL064C,0.129,-0.435,0.027,1.22E-01,1.36E-02,9.35E-01
YOR225W,YOR225W,-0.025,-0.518,0.25,7.58E-01,1.29E-02,1.54E-01
YCR028C,FEN2,-0.026,0.209,0.309,5.76E-01,5.66E-04,1.21E-03
YKR012C,YKR012C,-0.485,-0.415,0.088,3.51E-07,2.50E-04,6.93E-01
YBR049C,REB1,0.385,0.002,-0.042,7.09E-08,9.71E-01,6.94E-01
YMR194W,RPL36A,-0.311,-0.36,-0.353,6.01E-08,2.66E-06,1.55E-07
YMR267W,PPA2,0.097,-0.086,0.052,2.48E-02,1.32E-01,6.50E-01
YJR033C,YJR033C,-0.04,0.343,0.208,6.73E-01,4.14E-03,3.90E-01
YHR075C,YHR075C,-0.114,0.054,0.14,1.89E-02,4.22E-01,2.11E-01
YGR169C,YGR169C,-0.092,-0.156,-0.031,1.54E-01,8.37E-02,8.40E-01
YOR226C,ISU2,0.009,-0.378,0.261,8.43E-01,6.42E-05,3.43E-02
YJL001W,PRE3,-0.076,0.141,-0.075,5.74E-02,4.98E-03,1.96E-01
YAL038W,CDC19,-0.652,0.123,-0.453,1.32E-10,1.04E-01,1.55E-07
YIL022W,TIM44,0.047,-0.15,0.186,2.88E-01,3.88E-02,3.92E-02
YMR268C,PRP24,0.168,0,0,3.70E-01,1.00E+00,1.00E+00
YHL043W,ECM34,-0.051,-0.015,0.113,4.29E-01,8.77E-01,3.96E-01
YPL100W,YPL100W,0.132,0.089,0.175,3.95E-03,9.15E-02,9.08E-02
YDR007W,TRP1,-0.069,-0.036,-0.05,1.18E-01,4.32E-01,4.84E-01
YGL137W,SEC27,0.068,0.056,-0.171,9.34E-02,1.89E-01,1.31E-02
YNL142W,MEP2,0.131,-0.017,0.231,5.04E-02,8.77E-01,8.51E-02
YNL215W,YNL215W,0.386,0.399,0.222,6.21E-07,3.89E-07,4.92E-02
YML090W,YML090W,0.15,-0.047,0.396,1.98E-01,8.97E-01,9.67E-02
YJR106W,ECM27,-0.139,0.161,-0.006,2.18E-03,3.13E-03,9.50E-01
YBL018C,POP8,-0.14,-0.662,-0.033,1.72E-01,2.70E-03,9.23E-01
YJL002C,OST1,-0.185,-0.076,-0.07,6.35E-05,7.98E-02,1.81E-01
YAL039C,CYC3,0.05,0.306,-0.061,4.49E-01,3.47E-06,4.14E-01
YIL023C,YIL023C,-0.161,0.166,-0.189,2.89E-03,1.10E-03,6.93E-02
YHR148W,IMP3,0.203,-0.693,0.533,2.29E-03,1.82E-03,5.35E-03
YBR260C,RGD1,0.205,-0.002,0,4.84E-01,1.28E-01,1.00E+00
YPR132W,RPS23B,-0.242,-0.329,-0.065,7.77E-06,5.17E-06,2.95E-01
YGR096W,YGR096W,-0.161,-0.138,0.001,2.93E-03,8.34E-02,1.00E+00
YOR080W,YOR080W,0.015,0.004,0.051,8.48E-01,9.79E-01,8.18E-01
YGL065C,ALG2,0.048,-0.003,-0.2,2.37E-01,9.64E-01,4.12E-02
YOR153W,PDR5,0.024,0.129,0.099,8.30E-01,8.18E-02,4.40E-01
YGL138C,YGL138C,-0.31,-0.311,0.293,5.70E-02,2.63E-01,4.47E-01
YOL122C,SMF1,-0.442,-0.122,-0.449,1.00E-08,1.26E-02,1.54E-07
YMR195W,YMR195W,-0.407,-0.171,-0.011,3.89E-08,7.54E-03,9.18E-01
YNL143C,YNL143C,-0.227,-0.266,-0.192,1.47E-04,1.13E-01,2.25E-01
YML091C,RPM2,0.305,0.168,-0.259,2.10E-05,9.00E-03,3.76E-02
YER066C-A,YER066C-A,-0.535,0.679,-0.942,7.61E-09,2.46E-04,1.88E-12
YLR289W,GUF1,0.145,-0.071,0.054,1.68E-02,4.08E-01,6.59E-01
YHR149C,YHR149C,0.204,-0.688,0.126,8.91E-03,1.85E-03,4.18E-01
YPR060C,ARO7,0.051,-0.899,0.455,2.96E-01,6.70E-07,7.78E-02
YPR133C,YPR133C,0.266,-0.074,0.488,3.33E-05,1.97E-01,8.10E-05
YOR081C,YOR081C,-0.066,0.09,-0.391,9.27E-02,8.52E-02,1.33E-06
YHL044W,YHL044W,-0.445,-0.115,0.229,7.20E-04,5.58E-01,1.38E-01
YPL101W,YPL101W,0.177,-0.215,0.296,5.05E-04,3.30E-03,7.26E-03
YKR013W,PRY2,-0.397,-0.356,0.048,1.08E-05,7.64E-06,4.26E-01
YNL070W,TOM7,-0.134,-0.086,-0.257,6.85E-02,3.42E-01,1.07E-01
YNL216W,RAP1,0.205,0.015,0.234,2.47E-02,9.35E-01,5.42E-01
YJR034W,PET191,0.017,0.021,0.143,8.51E-01,8.38E-01,5.23E-01
YJR107W,YJR107W,-0.213,0.095,0.012,7.82E-05,1.30E-01,9.13E-01
YHR076W,YHR076W,-0.006,-0.104,0.083,8.86E-01,7.38E-02,5.02E-01
YIL024C,YIL024C,-0.091,-0.019,-0.175,1.90E-01,8.36E-01,2.71E-01
YBR261C,YBR261C,-0.013,-0.542,0.277,7.69E-01,9.62E-05,3.71E-02
YGR097W,ASK10,-0.549,-0.358,-0.293,9.40E-10,2.96E-04,3.24E-05
YOR154W,YOR154W,0.339,-0.128,0.35,4.53E-04,4.06E-01,6.34E-02
YPL102C,YPL102C,0.095,-0.199,-0.007,2.87E-01,2.39E-01,9.79E-01
YOL050C,YOL050C,0.066,0.041,0.343,4.91E-01,7.26E-01,1.68E-02
YOR227W,YOR227W,-0.269,0.456,-0.218,7.93E-02,3.52E-02,1.65E-01
YKR014C,YPT52,-0.189,0.049,-0.147,1.12E-03,2.86E-01,9.01E-02
YNL144C,YNL144C,-0.144,0.242,-0.915,3.05E-03,2.44E-04,5.74E-14
YMR269W,YMR269W,-0.064,-0.424,0.186,5.48E-01,9.60E-02,5.92E-01
YML092C,PRE8,-0.081,0.01,0.086,4.68E-02,8.13E-01,1.48E-01
YHR077C,NMD2,0.205,-0.074,0.22,3.54E-04,1.56E-01,6.49E-03
YPR061C,YPR061C,0.155,0.108,0.276,1.16E-03,4.23E-02,1.40E-02
YGR098C,ESP1,0.16,-0.045,-0.294,2.10E-03,4.23E-01,4.73E-04
YOR082C,YOR082C,-0.21,-0.033,-0.152,6.09E-02,9.06E-01,6.62E-01
YBL019W,APN2,0.076,-0.053,0.064,1.00E-01,4.07E-01,5.29E-01
YOR155C,YOR155C,-0.141,-0.045,-0.124,1.17E-03,3.24E-01,7.74E-02
YOR228C,YOR228C,-0.025,0.298,0.309,9.35E-01,3.20E-01,2.59E-01
YJL003W,YJL003W,0.157,0.043,0.063,4.28E-02,8.05E-01,6.42E-01
YMR197C,VTI1,-0.573,0,0,3.01E-02,1.00E+00,1.00E+00
YHL045W,YHL045W,-0.27,-0.22,-0.291,5.32E-03,2.49E-01,2.88E-01
YGL066W,YGL066W,0.114,-0.058,0.13,5.40E-03,2.15E-01,1.21E-01
YDR009W,GAL3,-0.111,-1.004,0.162,1.26E-02,6.98E-08,1.65E-01
YGL139W,YGL139W,0.106,-0.106,0.09,2.35E-02,4.76E-02,3.91E-01
YOL123W,HRP1,0.245,0.126,-0.036,9.84E-06,5.01E-03,5.95E-01
YNL071W,LAT1,-0.094,0.088,-0.257,2.06E-02,3.86E-02,4.56E-05
YJR035W,RAD26,0.282,0.064,0.584,5.39E-02,8.66E-01,1.52E-02
YNL217W,YNL217W,-0.337,-0.308,-0.031,1.32E-04,3.74E-05,6.83E-01
YJR108W,YJR108W,-0.284,-0.139,0.024,1.61E-02,4.65E-01,9.23E-01
YDR220C,YDR220C,0.077,-0.298,0,6.46E-01,4.77E-01,8.99E-01
YJL004C,SYS1,-0.048,0.05,-0.003,3.56E-01,3.44E-01,9.79E-01
YIL025C,YIL025C,-0.352,-0.455,-0.234,7.23E-04,1.04E-01,5.07E-01
YPR134W,MSS18,0.083,-0.071,0.114,7.24E-02,2.21E-01,2.25E-01
YBR262C,YBR262C,-0.063,0.023,-0.098,1.59E-01,6.70E-01,4.80E-01
YHL046C,YHL046C,-0.192,0.012,0.032,3.41E-03,8.97E-01,8.58E-01
YPL103C,YPL103C,-0.173,-0.158,-0.407,2.21E-04,1.82E-02,3.66E-03
YOL124C,YOL124C,0.286,-0.246,0.82,3.63E-06,4.69E-01,2.22E-03
YKR015C,YKR015C,0.05,-0.137,0.034,4.47E-01,2.31E-01,7.99E-01
YJR036C,YJR036C,-0.055,-0.041,0.114,3.68E-01,7.65E-01,3.66E-01
YJR109C,CPA2,-0.323,0,-0.745,1.29E-07,6.14E-01,3.10E-02
YOR156C,NFI1,-0.255,0.222,-0.054,4.76E-01,3.11E-01,8.22E-01
YPL030W,YPL030W,0.113,-0.221,0.82,9.56E-02,1.11E-01,1.35E-04
YGL067W,YGL067W,-0.191,-0.133,-0.324,3.60E-04,2.93E-02,1.86E-03
YOL051W,GAL11,0.171,0.055,0.111,1.83E-03,3.39E-01,3.09E-01
YNL072W,RNH35,0.181,0.087,-0.257,3.20E-02,3.85E-01,7.69E-02
YNL145W,MFA2,-0.764,-0.098,-1.237,3.15E-11,5.34E-02,1.19E-10
YML093W,YML093W,0.395,-0.949,0.753,5.14E-06,4.39E-06,1.44E-03
YNL218W,YNL218W,0.175,-0.206,0.221,6.98E-03,2.47E-01,1.35E-01
YIL026C,IRR1,0.181,-0.109,-0.161,4.97E-02,1.28E-01,2.08E-01
YHR078W,YHR078W,-0.235,0.062,-0.176,3.02E-06,1.74E-01,4.97E-02
YPR062W,FCY1,-0.07,-0.145,-0.071,6.69E-02,6.64E-03,2.65E-01
YHL047C,YHL047C,0.362,0.337,0.363,3.39E-06,2.16E-06,6.87E-03
YPR135W,CTF4,0.181,0.24,-0.181,7.78E-02,4.70E-03,1.46E-01
YGR099W,TEL2,-0.043,-0.001,-0.491,5.94E-01,1.00E+00,1.18E-01
YPL031C,PHO85,-0.106,0.125,-0.139,1.28E-02,5.64E-03,2.00E-02
YOR083W,YOR083W,-0.005,-0.005,0.156,9.29E-01,9.59E-01,2.17E-01
YOR229W,WTM2,0.074,-0.043,0.147,6.38E-02,4.20E-01,1.36E-01
YOL052C,SPE2,0.042,0.072,-0.323,4.01E-01,1.41E-01,1.96E-04
YMR198W,CIK1,0.107,-0.208,-0.157,6.97E-02,8.24E-02,3.58E-01
YNL219C,ALG9,-0.12,0.078,0.222,2.73E-03,1.64E-01,3.75E-03
YHR079C,IRE1,0.049,-0.104,0.249,3.49E-01,1.27E-01,4.30E-02
YPR063C,YPR063C,-0.201,0.024,-0.383,1.73E-05,5.76E-01,7.31E-09
YPR136C,YPR136C,-0.115,-0.724,0.469,1.79E-01,5.90E-04,1.17E-01
YOR157C,PUP1,0.155,0.045,0.111,3.93E-04,2.76E-01,1.08E-01
YDR221W,YDR221W,0.043,0.035,0.19,3.81E-01,7.33E-01,1.67E-01
YJL005W,CYR1,-0.12,0.1,-0.06,5.40E-03,7.06E-02,4.44E-01
YBR190W,YBR190W,-0.209,-0.3,0.07,4.51E-05,3.88E-04,6.65E-01
YBR263W,SHM1,-0.037,-0.185,0.203,3.18E-01,1.43E-03,2.45E-02
YPL104W,MSD1,0.088,0.256,0.073,7.22E-02,1.03E-03,5.06E-01
YGL068W,YGL068W,-0.085,0.07,-0.327,4.09E-02,1.24E-01,1.24E-04
YOL125W,YOL125W,0.118,-0.164,0.049,3.21E-02,1.34E-01,6.73E-01
YKR016W,YKR016W,0.307,-0.106,-0.208,1.53E-06,3.48E-02,2.52E-03
YNL073W,MSK1,-0.054,-0.12,-0.152,1.40E-01,2.00E-02,1.10E-02
YNL146W,YNL146W,-0.116,-0.45,0.281,5.11E-01,1.62E-01,2.62E-01
YML094W,GIM5,-0.055,0,0,2.86E-01,1.00E+00,1.00E+00
YJR037W,YJR037W,-0.164,-0.234,0.321,4.33E-01,5.47E-01,2.04E-01
YKL096W-A,CWP2,-0.197,0.194,-0.34,1.33E-05,1.38E-04,6.42E-08
YJL006C,CTK2,0.076,-0.501,0.511,1.96E-01,3.08E-04,2.01E-02
YIL027C,YIL027C,-0.145,-0.058,-0.256,5.81E-03,3.89E-01,1.46E-01
YBR264C,YPT10,0.145,-0.298,0.427,1.44E-02,7.65E-03,5.47E-03
YOR084W,YOR084W,0.79,0.187,0.665,7.33E-11,3.90E-02,2.43E-05
YPL032C,SVL3,0.024,-0.068,-0.384,6.17E-01,2.99E-01,1.23E-04
YPL105C,YPL105C,0.257,0.009,0.118,5.75E-06,8.72E-01,2.07E-01
YGL069C,YGL069C,-0.074,0.071,-0.198,6.19E-02,1.28E-01,3.16E-02
YOL126C,MDH2,0.159,-0.247,0.467,3.73E-04,3.23E-04,3.52E-07
YKR017C,YKR017C,0.087,0.112,0.065,5.02E-02,3.56E-02,5.32E-01
YNL074C,MLF3,-0.012,-0.259,0.537,7.77E-01,6.80E-05,2.14E-08
YMR199W,CLN1,0.108,-0.361,0.344,3.19E-02,3.48E-05,1.24E-02
YJR038C,YJR038C,-0.073,0.081,0.198,6.20E-01,7.06E-01,4.07E-01
YML095C,RAD10,0.367,0,-0.085,3.51E-01,5.32E-01,8.12E-01
YDR222W,YDR222W,0.263,0.459,-0.269,3.48E-02,4.88E-02,5.31E-02
